metric,value
mIoU,80.79
mAcc,88.33
aAcc,96.54
avg_time_per_iter_s,0.12539999999999998
median_time_per_iter_s,0.1256
avg_fps_batch1,7.974481658692186
median_fps_batch1,7.961783439490446
peak_mem_mb,1311

class,IoU,Acc
road,98.39,99.07
sidewalk,86.69,92.8
building,93.41,96.89
wall,68.18,75.79
fence,65.04,76.53
pole,66.72,76.96
traffic light,72.79,84.06
traffic sign,80.87,88.34
vegetation,93.15,97.01
terrain,66.26,74.43
sky,95.47,98.11
person,83.36,91.7
rider,65.96,79.05
car,95.23,97.92
truck,84.0,91.47
bus,89.39,94.87
train,82.7,90.08
motorcycle,69.06,82.33
bicycle,78.27,90.76
