metric,value
mIoU,58.11
mAcc,69.22
aAcc,93.17
avg_time_per_iter_s,0.05748
median_time_per_iter_s,0.0574
avg_fps_batch1,17.397355601948504
median_fps_batch1,17.421602787456447
peak_mem_mb,1136

class,IoU,Acc
road,96.36,98.23
sidewalk,73.46,82.37
building,88.16,94.96
wall,42.17,46.31
fence,41.77,54.74
pole,40.57,49.96
traffic light,49.47,66.64
traffic sign,63.33,72.56
vegetation,89.72,95.34
terrain,54.28,64.66
sky,91.67,96.42
person,68.77,85.43
rider,35.06,46.54
car,89.48,96.12
truck,25.57,31.83
bus,40.78,56.74
train,26.37,66.0
motorcycle,23.15,25.68
bicycle,63.94,84.66
