iter,loss,acc_seg,lr
7750,0.3491,95.954,5.7634e-05
7800,0.2119,96.3396,5.7616e-05
7850,0.1087,93.1211,5.7597e-05
7900,0.2129,76.4834,5.7578e-05
7950,0.1636,91.822,5.7559e-05
8000,0.1455,94.0501,5.754e-05
8050,0.1466,98.4512,5.7521e-05
8100,0.3809,94.6603,5.7502e-05
8150,0.2575,91.4301,5.7483e-05
8200,0.13,92.3936,5.7464e-05
8250,0.1159,93.9411,5.7445e-05
8300,0.1524,96.8698,5.7426e-05
8350,0.3343,94.3635,5.7407e-05
8400,0.1934,94.3287,5.7388e-05
8450,0.1816,96.1322,5.7369e-05
8500,0.189,87.6469,5.7351e-05
8550,0.1771,96.9945,5.7332e-05
8600,0.2674,96.5484,5.7313e-05
8650,0.1921,88.5667,5.7294e-05
8700,0.1845,97.306,5.7275e-05
8750,0.2223,97.6331,5.7256e-05
8800,0.1493,94.6266,5.7237e-05
8850,0.2872,93.533,5.7218e-05
8900,0.1784,97.3575,5.7199e-05
8950,0.145,92.9966,5.718e-05
9000,0.1631,93.2767,5.7161e-05
9050,0.1736,96.5794,5.7142e-05
9100,0.2409,96.2001,5.7123e-05
9150,0.1789,96.4163,5.7104e-05
9200,0.1607,96.1026,5.7086e-05
9250,0.19,72.7075,5.7067e-05
9300,0.2312,89.5248,5.7048e-05
9350,0.1371,95.4463,5.7029e-05
9400,0.3474,58.233,5.701e-05
9450,0.2166,90.2189,5.6991e-05
9500,0.1646,92.9122,5.6972e-05
9550,0.2723,96.5901,5.6953e-05
9600,0.2966,91.0837,5.6934e-05
9650,0.2625,90.519,5.6915e-05
9700,0.2348,82.165,5.6896e-05
9750,0.1335,92.6664,5.6877e-05
9800,0.2118,92.3002,5.6858e-05
9850,0.201,96.576,5.6839e-05
9900,0.149,95.4565,5.6821e-05
9950,0.1254,96.9707,5.6802e-05
10000,0.2372,94.5295,5.6783e-05
10050,0.2009,91.0935,5.6764e-05
10100,0.2569,96.9456,5.6745e-05
10150,0.3334,97.9823,5.6726e-05
10200,0.304,94.4273,5.6707e-05
10250,0.1886,90.34,5.6688e-05
10300,0.2193,93.1017,5.6669e-05
10350,0.2291,96.9496,5.665e-05
10400,0.3544,90.6758,5.6631e-05
10450,0.1936,87.5746,5.6612e-05
10500,0.2153,97.2898,5.6593e-05
10550,0.1677,94.3481,5.6574e-05
10600,0.295,91.6595,5.6556e-05
10650,0.2577,95.7762,5.6537e-05
10700,0.2623,84.9275,5.6518e-05
10750,0.2111,93.6385,5.6499e-05
10800,0.1689,97.1859,5.648e-05
10850,0.1477,97.0534,5.6461e-05
10900,0.1781,95.9917,5.6442e-05
10950,0.3398,96.4876,5.6423e-05
11000,0.2704,86.1053,5.6404e-05
11050,0.1971,96.4205,5.6385e-05
11100,0.2104,94.7693,5.6366e-05
11150,0.2089,93.2135,5.6347e-05
11200,0.1692,94.2245,5.6328e-05
11250,0.1708,93.5804,5.631e-05
11300,0.2063,95.663,5.6291e-05
11350,0.1302,96.4664,5.6272e-05
11400,0.1866,94.3572,5.6253e-05
11450,0.1972,92.56,5.6234e-05
11500,0.1048,96.9065,5.6215e-05
11550,0.1369,93.4026,5.6196e-05
11600,0.1482,93.5396,5.6177e-05
11650,0.3227,88.2132,5.6158e-05
11700,0.1862,91.1338,5.6139e-05
11750,0.1593,96.9684,5.612e-05
11800,0.1267,95.1192,5.6101e-05
11850,0.1743,96.0651,5.6082e-05
11900,0.2189,92.7946,5.6063e-05
11950,0.2002,93.9469,5.6045e-05
12000,0.3147,96.517,5.6026e-05
12050,0.2985,95.074,5.6007e-05
12100,0.1727,87.8235,5.5988e-05
12150,0.163,94.7573,5.5969e-05
12200,0.1346,95.0088,5.595e-05
12250,0.1289,94.3601,5.5931e-05
12300,0.1136,96.8725,5.5912e-05
12350,0.2406,95.2324,5.5893e-05
12400,0.3217,88.1183,5.5874e-05
12450,0.1686,92.4779,5.5855e-05
12500,0.6031,88.7679,5.5836e-05
12550,0.3576,96.8023,5.5817e-05
12600,0.1381,91.5277,5.5798e-05
12650,0.2985,74.8234,5.578e-05
12700,0.164,90.0235,5.5761e-05
12750,0.152,88.136,5.5742e-05
12800,0.1612,92.9201,5.5723e-05
12850,0.251,94.7575,5.5704e-05
12900,0.1653,80.2353,5.5685e-05
12950,0.1947,87.8429,5.5666e-05
13000,0.2099,96.2399,5.5647e-05
13050,0.1252,97.1773,5.5628e-05
13100,0.1166,96.8454,5.5609e-05
13150,0.1456,96.7543,5.559e-05
13200,0.2215,97.7034,5.5571e-05
13250,0.1588,89.2461,5.5552e-05
13300,0.3336,77.226,5.5533e-05
13350,0.2156,91.612,5.5515e-05
13400,0.432,92.8112,5.5496e-05
13450,0.1466,97.8272,5.5477e-05
13500,0.1505,94.5368,5.5458e-05
13550,0.2092,94.3746,5.5439e-05
13600,0.1711,96.4078,5.542e-05
13650,0.2057,94.513,5.5401e-05
13700,0.1347,97.6181,5.5382e-05
13750,0.1226,96.4509,5.5363e-05
13800,0.1456,96.7736,5.5344e-05
13850,0.2022,96.3487,5.5325e-05
13900,0.1463,95.3984,5.5306e-05
13950,0.1602,94.1423,5.5287e-05
14000,0.1534,97.2265,5.5268e-05
14050,0.1978,97.4736,5.525e-05
14100,0.1872,94.3243,5.5231e-05
14150,0.1074,96.6694,5.5212e-05
14200,0.1795,97.322,5.5193e-05
14250,0.2423,81.8467,5.5174e-05
14300,0.1911,94.3995,5.5155e-05
14350,0.1742,96.7107,5.5136e-05
14400,0.1981,98.6431,5.5117e-05
14450,0.2104,94.0961,5.5098e-05
14500,0.1154,97.79,5.5079e-05
14550,0.2888,96.5768,5.506e-05
